****** begin! ******
****** step1 ******
episode 0, total reward -455.1859862528011
episode 430, total reward -454.71874564853744
episode 431, total reward -456.6097429823194
episode 432, total reward -472.41096635457717
episode 433, total reward -364.69795218683385
episode 434, total reward -367.1478905886497
episode 435, total reward -342.2911741710971
episode 436, total reward -453.2453662879734
episode 437, total reward -480.48129640295224
episode 438, total reward -629.6351873048993
episode 439, total reward -664.8257066594904
episode 440, total reward -506.0287490873118
start test!
average_test_reward_sum = -580.3985703753557
episode 441, total reward -355.776880876358
episode 442, total reward -450.8309945860666
episode 443, total reward -278.1072050157322
episode 444, total reward -369.14327996755935
episode 445, total reward -506.8982432558169
episode 446, total reward -362.84109132166657
episode 447, total reward -388.755162482431
episode 448, total reward -374.1413966163167
episode 449, total reward -430.0168824771484
episode 450, total reward -576.6735494300082
episode 451, total reward -446.18691922121855
episode 452, total reward -487.2451750646037
episode 453, total reward -384.74367000621294
episode 454, total reward -532.0086714615877
episode 455, total reward -470.7214217304287
episode 456, total reward -653.5077178786372
episode 457, total reward -257.6087344065583
episode 458, total reward -459.8528046431295
episode 459, total reward -445.51873418034296
episode 460, total reward -470.53393198130163
start test!
average_test_reward_sum = -530.0503462067828
episode 461, total reward -653.9842441704809
episode 462, total reward -421.6692854866559
episode 463, total reward -612.818866879803
episode 464, total reward -433.5350436004114
episode 465, total reward -408.8651174607197
episode 466, total reward -465.28194160121353
episode 467, total reward -481.58861986921943
episode 468, total reward -262.4986044252564
episode 469, total reward -362.7730979532945
episode 470, total reward -358.9864976607166
episode 471, total reward -661.4717553152453
episode 472, total reward -365.676392195468
episode 473, total reward -402.20307084786344
episode 474, total reward -362.91273726032216
episode 475, total reward -360.35878593553093
episode 476, total reward -459.19487892159174
episode 477, total reward -528.8858901019372
episode 478, total reward -611.5854417940502
episode 479, total reward -263.6794186228093
episode 480, total reward -355.3440340648194
start test!
average_test_reward_sum = -551.0458296445173
episode 481, total reward -420.086253906989
episode 482, total reward -381.4962335101688
episode 483, total reward -445.34282857188316
episode 484, total reward -558.7563936750811
episode 485, total reward -254.1598597013279
episode 486, total reward -384.98839379546735
episode 487, total reward -263.16564174191984
episode 488, total reward -509.6477784821075
episode 489, total reward -509.3477557142454
episode 490, total reward -598.8701979466147
episode 491, total reward -459.082799353337
episode 492, total reward -695.7318634176688
episode 493, total reward -368.28783451219107
episode 494, total reward -642.8730844973765
episode 495, total reward -666.60386932854
episode 496, total reward -600.5974005737999
episode 497, total reward -392.54738877271814
episode 498, total reward -455.54081142274174
episode 499, total reward -509.4803808631475
episode 500, total reward -364.3981747591535
start test!
average_test_reward_sum = -544.6024951018342
episode 501, total reward -249.0012420123954
episode 502, total reward -364.4509863759736
episode 503, total reward -488.22039338788613
episode 504, total reward -629.0325271864922
episode 505, total reward -497.5704208416072
episode 506, total reward -500.75975319065554
episode 507, total reward -575.0071232619036
episode 508, total reward -498.3878863278447
episode 509, total reward -431.4085799480383
episode 510, total reward -640.8084967763301
episode 511, total reward -364.21092875564
episode 512, total reward -593.2050637433956
episode 513, total reward -528.8662370900698
episode 514, total reward -463.40863609665485
episode 515, total reward -471.52685741934323
episode 516, total reward -419.71410371845514
episode 517, total reward -693.5403073154739
episode 518, total reward -635.2339402546861
episode 519, total reward -587.7592513032806
episode 520, total reward -464.05310741742545
start test!
average_test_reward_sum = -518.569588813687
episode 521, total reward -475.79464257411814
episode 522, total reward -571.6159610637226
episode 523, total reward -411.31203058359534
episode 524, total reward -596.7402209573812
episode 525, total reward -439.7333435663834
episode 526, total reward -398.36098148606783
episode 527, total reward -513.0322638070527
episode 528, total reward -468.18135675862607
episode 529, total reward -448.16524900374634
episode 530, total reward -594.1703847272132
episode 531, total reward -630.0845946431508
episode 532, total reward -363.92121233067206
episode 533, total reward -253.1837287385844
episode 534, total reward -360.88202599548805
episode 535, total reward -364.2307849641658
episode 536, total reward -398.7851337671647
episode 537, total reward -494.3117982482004
episode 538, total reward -376.9992634018357
episode 539, total reward -649.3329981866985
episode 540, total reward -645.7787014989516
start test!
average_test_reward_sum = -516.4366410372758
episode 541, total reward -519.1690537728645
episode 542, total reward -259.36180754984457
episode 543, total reward -689.8816250784395
episode 544, total reward -494.5766261846859
episode 545, total reward -465.81685527954266
episode 546, total reward -485.2670772250629
episode 547, total reward -368.35549174490285
episode 548, total reward -466.3960852629926
