****** begin! ******
****** step1 ******
episode 0, total reward -444.3598298980317
episode 391, total reward -705.9983944243922
episode 392, total reward -324.1241570552232
episode 393, total reward -446.4559512119846
episode 394, total reward -491.456518643981
episode 395, total reward -382.17209489266594
episode 396, total reward -363.0046719089859
episode 397, total reward -314.8962893045661
episode 398, total reward -471.5055173739272
episode 399, total reward -369.33957786021375
episode 400, total reward -440.0394909952673
start test!
average_test_reward_sum = -575.407680703464
episode 401, total reward -251.23469718257962
episode 402, total reward -685.4919522416047
episode 403, total reward -338.1424672856145
episode 404, total reward -474.44731328507464
episode 405, total reward -360.7466625531628
episode 406, total reward -262.4990391391818
episode 407, total reward -465.43315269103033
episode 408, total reward -395.7416075329773
episode 409, total reward -498.79930996638075
episode 410, total reward -379.16403541322416
episode 411, total reward -363.6665343412519
episode 412, total reward -594.2732850243441
episode 413, total reward -633.1993654381367
episode 414, total reward -493.4032972586507
episode 415, total reward -371.08519151937406
episode 416, total reward -360.5653737040674
episode 417, total reward -389.0307523700025
episode 418, total reward -469.2248856626791
episode 419, total reward -537.21629235917
episode 420, total reward -479.8660019842971
start test!
average_test_reward_sum = -555.8364181304677
episode 421, total reward -539.6664189957804
episode 422, total reward -654.311931595743
episode 423, total reward -699.0064248769955
episode 424, total reward -351.1045299114132
episode 425, total reward -250.44705013466907
episode 426, total reward -386.8894888869854
episode 427, total reward -367.5800060470678
episode 428, total reward -362.28705276952127
episode 429, total reward -579.3711914238824
episode 430, total reward -482.0715140091875
episode 431, total reward -450.0552563849609
episode 432, total reward -359.5193641873771
episode 433, total reward -250.34400146281317
episode 434, total reward -464.90582432030783
episode 435, total reward -602.3141433849734
episode 436, total reward -367.6018875614614
episode 437, total reward -288.87099092513955
episode 438, total reward -411.6189048827375
episode 439, total reward -554.6883098617931
episode 440, total reward -570.8385441280436
start test!
average_test_reward_sum = -530.1389989205284
episode 441, total reward -677.2546749200584
episode 442, total reward -390.13030353210036
episode 443, total reward -482.48003893018307
episode 444, total reward -442.9470998860419
episode 445, total reward -359.463355946523
episode 446, total reward -377.9225804060892
episode 447, total reward -450.6392915515921
episode 448, total reward -483.0329329777164
episode 449, total reward -460.34202015931623
episode 450, total reward -620.933182018157
episode 451, total reward -267.1664254390023
episode 452, total reward -375.84302946861413
episode 453, total reward -669.6863831925044
episode 454, total reward -655.0810579141664
episode 455, total reward -571.877151411771
episode 456, total reward -323.84527161588176
episode 457, total reward -372.18751500866483
episode 458, total reward -364.6378459733334
episode 459, total reward -373.7566681790826
episode 460, total reward -593.2950823645313
start test!
average_test_reward_sum = -516.5218942990914
episode 461, total reward -461.3195213287152
episode 462, total reward -345.22323036779454
episode 463, total reward -661.5552887551746
episode 464, total reward -334.741801533825
episode 465, total reward -267.7664814141833
episode 466, total reward -253.58163433650705
episode 467, total reward -529.4214659006044
episode 468, total reward -463.9597843281688
episode 469, total reward -598.3683729142662
episode 470, total reward -356.5031273441689
episode 471, total reward -464.0907478558241
episode 472, total reward -272.64516595455336
episode 473, total reward -254.04787162648051
episode 474, total reward -279.18178517191836
episode 475, total reward -648.239975607566
episode 476, total reward -468.1615975421902
episode 477, total reward -367.7779859969543
episode 478, total reward -567.7628871797463
