****** begin! ******
****** step1 ******
episode 0, total reward -573.6744993729882
episode 425, total reward -625.1939182147123
episode 426, total reward -687.1764669871669
episode 427, total reward -256.2006019411587
episode 428, total reward -402.2747466280262
episode 429, total reward -704.0818283851341
episode 430, total reward -562.370223016465
episode 431, total reward -512.9734360128143
episode 432, total reward -457.8014272764851
episode 433, total reward -382.2495579928991
episode 434, total reward -606.2633978104793
episode 435, total reward -532.4919193622464
episode 436, total reward -254.3038015296956
episode 437, total reward -572.3613715689995
episode 438, total reward -461.0420248849696
episode 439, total reward -462.240648343456
episode 440, total reward -384.64837751932043
start test!
average_test_reward_sum = -592.3375948157819
episode 441, total reward -535.0174645169554
episode 442, total reward -379.12247265512394
episode 443, total reward -364.12977534719835
episode 444, total reward -385.4932370279724
episode 445, total reward -545.5074184268825
episode 446, total reward -533.3922660079936
episode 447, total reward -363.7814813334719
episode 448, total reward -438.34532848847624
episode 449, total reward -691.6569072495972
episode 450, total reward -257.7684232924596
episode 451, total reward -651.4047926579408
episode 452, total reward -627.5097661966421
episode 453, total reward -362.24124286975456
episode 454, total reward -582.4620364167702
episode 455, total reward -364.3925337414389
episode 456, total reward -481.8619066700943
episode 457, total reward -459.0675278278072
episode 458, total reward -429.07169421978995
episode 459, total reward -503.34887815861606
episode 460, total reward -474.57908735115933
start test!
average_test_reward_sum = -568.2743426679518
episode 461, total reward -458.36207022392193
episode 462, total reward -359.5023885976325
episode 463, total reward -577.5388900196426
episode 464, total reward -365.77340675619246
episode 465, total reward -459.93723907406445
episode 466, total reward -340.3349479303042
episode 467, total reward -364.96171341020005
episode 468, total reward -362.89415122786846
episode 469, total reward -294.7660616050895
episode 470, total reward -378.1768700369819
episode 471, total reward -686.2367967884347
episode 472, total reward -470.5355130642954
episode 473, total reward -648.3946683764624
episode 474, total reward -389.09578692064997
episode 475, total reward -579.6179030915811
episode 476, total reward -367.25072171982447
episode 477, total reward -656.8782467062333
episode 478, total reward -250.07120904450088
episode 479, total reward -458.316272944189
episode 480, total reward -593.8301804625661
start test!
average_test_reward_sum = -546.8647541616119
episode 481, total reward -560.4172286400486
episode 482, total reward -365.9505715186648
episode 483, total reward -375.409282652083
episode 484, total reward -369.19762260985254
episode 485, total reward -429.8204651635155
episode 486, total reward -521.3440381318906
episode 487, total reward -522.1280657857959
episode 488, total reward -523.0913281377195
episode 489, total reward -515.9322582349993
episode 490, total reward -360.7947877373493
episode 491, total reward -575.247964099764
episode 492, total reward -477.9255472534801
episode 493, total reward -350.4064375446204
episode 494, total reward -477.91703746563746
episode 495, total reward -550.3325909208785
episode 496, total reward -255.07698170515286
episode 497, total reward -533.1944378497344
episode 498, total reward -619.7901522979671
episode 499, total reward -363.28928927138804
episode 500, total reward -465.4026443390099
start test!
average_test_reward_sum = -510.28088751726017
episode 501, total reward -651.7606491792059
episode 502, total reward -262.8227229813165
episode 503, total reward -515.6802181938875
episode 504, total reward -696.1513850740425
episode 505, total reward -475.02362196510563
episode 506, total reward -251.354435859589
episode 507, total reward -493.24736619425727
episode 508, total reward -569.2960969434941
episode 509, total reward -362.18459145476425
episode 510, total reward -349.1748940955042
episode 511, total reward -498.97057706788047
episode 512, total reward -362.9780240696248
episode 513, total reward -450.4179435336477
episode 514, total reward -476.46268080562464
episode 515, total reward -317.35585726480895
episode 516, total reward -340.4992770663608
episode 517, total reward -472.64624020397133
episode 518, total reward -492.5909669688151
episode 519, total reward -587.0525547774231
episode 520, total reward -358.0861940323679
start test!
average_test_reward_sum = -545.1895201759336
episode 521, total reward -477.2661800651356
episode 522, total reward -526.5720185209722
episode 523, total reward -545.1157355580257
episode 524, total reward -250.01207959490176
episode 525, total reward -385.0073978248511
episode 526, total reward -480.3717141788559
episode 527, total reward -393.3129197129248
episode 528, total reward -676.5327054227952
episode 529, total reward -682.6217223881148
episode 530, total reward -465.0114365749229
episode 531, total reward -515.8713117456077
episode 532, total reward -437.32309702981416
episode 533, total reward -651.8424776250667
episode 534, total reward -605.7710415530707
episode 535, total reward -367.24259275731185
episode 536, total reward -629.6299897069691
episode 537, total reward -573.4276111206706
episode 538, total reward -254.5879140260908
episode 539, total reward -495.9805591951245
episode 540, total reward -300.29972896186626
start test!
average_test_reward_sum = -523.3030679680438
episode 541, total reward -687.9816550695288
episode 542, total reward -557.183651855833
episode 543, total reward -418.68646175008956
episode 544, total reward -517.3366389800304
episode 545, total reward -694.9478707923275
episode 546, total reward -284.0151249854247
episode 547, total reward -328.6417222980841
episode 548, total reward -372.7620231330551
episode 549, total reward -570.89244061333
episode 550, total reward -528.2809686000269
