****** begin! ******
****** step1 ******
episode 0, total reward -343.1650811730087
episode 341, total reward -453.2729596297561
episode 342, total reward -348.6350854055832
episode 343, total reward -424.5505591655223
episode 344, total reward -508.8480860828048
episode 345, total reward -365.4804764808306
episode 346, total reward -500.1981087665552
episode 347, total reward -506.4901236800422
episode 348, total reward -457.7096974387227
episode 349, total reward -453.3070500529551
episode 350, total reward -650.321234415054
episode 351, total reward -646.662679693108
episode 352, total reward -658.9639749947788
episode 353, total reward -362.2878973989389
episode 354, total reward -508.0274127647659
episode 355, total reward -461.3927772318378
episode 356, total reward -581.6846068617197
episode 357, total reward -274.79873020982143
episode 358, total reward -366.4941170520568
episode 359, total reward -479.6136896786893
episode 360, total reward -537.081225817831
start test!
average_test_reward_sum = -617.51595353209
episode 361, total reward -464.66452070743935
episode 362, total reward -294.7255281161069
episode 363, total reward -453.448548072111
episode 364, total reward -321.81438215626235
episode 365, total reward -527.4745811241341
episode 366, total reward -457.45252715071547
episode 367, total reward -470.4841599788333
episode 368, total reward -680.4703522000012
episode 369, total reward -423.4550832039086
episode 370, total reward -500.76750932131733
episode 371, total reward -437.18001499271105
episode 372, total reward -627.2615629026966
episode 373, total reward -474.1477794800798
episode 374, total reward -444.03789569534814
episode 375, total reward -603.3338796384668
episode 376, total reward -432.44946257511344
episode 377, total reward -496.94773079116277
episode 378, total reward -523.976366382064
episode 379, total reward -464.29234231103305
episode 380, total reward -612.1207924840369
start test!
average_test_reward_sum = -568.3630266380882
episode 381, total reward -478.34064936410664
episode 382, total reward -643.8619597355264
episode 383, total reward -491.85549266023145
episode 384, total reward -358.947968654897
episode 385, total reward -480.5642960452661
episode 386, total reward -456.1606367850467
episode 387, total reward -593.526811419503
episode 388, total reward -363.0346178730515
episode 389, total reward -429.54144317496764
episode 390, total reward -535.5150451803717
episode 391, total reward -282.78892917351266
episode 392, total reward -459.3321013074404
episode 393, total reward -372.11330491330784
episode 394, total reward -368.21861572914605
episode 395, total reward -364.90188723837935
episode 396, total reward -419.50226099654515
episode 397, total reward -368.36324833825165
episode 398, total reward -262.22004266635616
episode 399, total reward -261.05105948503575
episode 400, total reward -581.6282534966439
start test!
average_test_reward_sum = -589.1683034948555
episode 401, total reward -644.1236041235097
episode 402, total reward -402.80545209639763
episode 403, total reward -386.8046399972429
episode 404, total reward -448.73149065295325
episode 405, total reward -527.2973353721715
episode 406, total reward -309.59032288760295
