****** begin! ******
****** step1 ******
episode 0, total reward -549.498502532012
episode 395, total reward -574.5497091230444
episode 396, total reward -513.9973437257922
episode 397, total reward -587.5544450806293
episode 398, total reward -468.40926738753126
episode 399, total reward -454.76114744840726
episode 400, total reward -539.2024282303053
start test!
average_test_reward_sum = -575.5496351060654
episode 401, total reward -701.7613260864659
episode 402, total reward -607.6397304373828
episode 403, total reward -662.5562907795276
episode 404, total reward -312.96355053549587
episode 405, total reward -395.4109309707575
episode 406, total reward -440.70753023749154
episode 407, total reward -533.6364667965444
episode 408, total reward -503.6137879259732
episode 409, total reward -370.9445999515116
episode 410, total reward -411.7758933660955
episode 411, total reward -626.9685071492695
episode 412, total reward -478.4204360364083
episode 413, total reward -462.16572672715336
episode 414, total reward -475.9621483989158
episode 415, total reward -461.7171977647665
episode 416, total reward -391.8113666484091
episode 417, total reward -466.8273188768823
episode 418, total reward -605.5286107825269
episode 419, total reward -455.0974702904759
episode 420, total reward -630.968480215446
start test!
average_test_reward_sum = -506.3893325010731
episode 421, total reward -362.4142804656533
episode 422, total reward -367.4734996534935
episode 423, total reward -255.10010672312697
episode 424, total reward -678.8098775357863
episode 425, total reward -459.8209379797445
episode 426, total reward -323.68718005673276
episode 427, total reward -266.39429049351816
episode 428, total reward -675.4022635602406
episode 429, total reward -488.71778071615216
episode 430, total reward -672.7838082687624
episode 431, total reward -490.47243449808354
episode 432, total reward -430.3114533450674
episode 433, total reward -605.8409247950317
episode 434, total reward -471.6532861972105
episode 435, total reward -367.7972215950431
episode 436, total reward -362.27106532274826
episode 437, total reward -576.1949661966577
episode 438, total reward -626.7283648020655
episode 439, total reward -552.7120192858742
episode 440, total reward -378.5690067124092
start test!
average_test_reward_sum = -523.1351610824489
episode 441, total reward -283.8583765985047
episode 442, total reward -549.42504056967
episode 443, total reward -308.84462243202023
episode 444, total reward -384.87258374306833
episode 445, total reward -418.12509098350955
episode 446, total reward -531.3332684171224
episode 447, total reward -365.47061049701534
episode 448, total reward -674.6382951089761
episode 449, total reward -324.39337551580013
episode 450, total reward -676.2408211873702
episode 451, total reward -253.95770333216478
episode 452, total reward -647.6568246443113
episode 453, total reward -464.88534650023814
episode 454, total reward -257.8745169030693
episode 455, total reward -370.89145596937544
episode 456, total reward -429.13185147477475
episode 457, total reward -481.72377828175684
episode 458, total reward -569.7580924296853
episode 459, total reward -370.042019015252
episode 460, total reward -541.6212593538736
start test!
average_test_reward_sum = -539.1436724929895
episode 461, total reward -476.63580525018244
episode 462, total reward -444.36412286887685
episode 463, total reward -404.8306627028579
episode 464, total reward -657.6336392260785
episode 465, total reward -554.9916433729752
episode 466, total reward -458.92819480103907
