****** begin! ******
****** step1 ******
episode 0, total reward -305.36208882493764
episode 574, total reward -479.5766346443032
episode 575, total reward -454.00771269305125
episode 576, total reward -365.44896306005785
episode 577, total reward -626.3160658241995
episode 578, total reward -675.8068633528402
episode 579, total reward -496.6894015565114
episode 580, total reward -373.0342750749684
start test!
average_test_reward_sum = -563.8132927392062
episode 581, total reward -347.54425551808924
episode 582, total reward -365.6190608959277
episode 583, total reward -414.2214673348196
episode 584, total reward -481.49648636866584
episode 585, total reward -520.4941843949924
episode 586, total reward -423.62131548051815
episode 587, total reward -410.16457209242446
episode 588, total reward -371.6135621467909
episode 589, total reward -365.0055406553812
episode 590, total reward -327.9611669526706
episode 591, total reward -446.9227395322373
episode 592, total reward -362.9230355713334
episode 593, total reward -404.7871737783372
episode 594, total reward -563.3571659097612
episode 595, total reward -514.2291088237708
episode 596, total reward -366.4440060410892
episode 597, total reward -463.36220765034454
episode 598, total reward -383.17599092809184
episode 599, total reward -648.0703283869196
episode 600, total reward -589.1916597480785
start test!
average_test_reward_sum = -529.5057050844187
episode 601, total reward -482.4822098842927
episode 602, total reward -247.09493742774725
episode 603, total reward -363.1163098589012
episode 604, total reward -396.51276560597614
episode 605, total reward -254.86955857054164
episode 606, total reward -248.5621496801176
episode 607, total reward -496.7037524780962
episode 608, total reward -563.6233505219515
episode 609, total reward -706.6600414139876
episode 610, total reward -251.67473292586817
episode 611, total reward -531.5234969398747
episode 612, total reward -477.540025095308
episode 613, total reward -365.1037569685251
episode 614, total reward -566.4798838119842
episode 615, total reward -505.9994026004812
episode 616, total reward -462.87318440689825
episode 617, total reward -488.224041094747
episode 618, total reward -450.51372604522777
episode 619, total reward -500.6332172171067
episode 620, total reward -421.99784455755906
start test!
average_test_reward_sum = -529.308265244942
episode 621, total reward -462.6027588307056
episode 622, total reward -482.06569045393996
episode 623, total reward -679.110918727022
episode 624, total reward -349.6701686004143
episode 625, total reward -311.6672374924439
episode 626, total reward -584.703794570899
episode 627, total reward -254.46384289473573
episode 628, total reward -398.13800058225604
episode 629, total reward -360.54551185566584
episode 630, total reward -637.9178634174335
episode 631, total reward -253.90835199719862
episode 632, total reward -289.60797344782094
episode 633, total reward -364.6930292923189
episode 634, total reward -633.2808322348689
episode 635, total reward -368.2665800923876
episode 636, total reward -376.6969711015573
episode 637, total reward -628.0537092736853
episode 638, total reward -463.1507905126874
episode 639, total reward -711.7641571342499
episode 640, total reward -565.5350313077332
start test!
average_test_reward_sum = -538.0364366668706
episode 641, total reward -363.46197768873293
episode 642, total reward -465.84930256239835
episode 643, total reward -470.4216843181583
episode 644, total reward -254.7737180571343
episode 645, total reward -252.7244275828552
episode 646, total reward -362.69984003335736
episode 647, total reward -362.3843531164665
episode 648, total reward -405.12328488013634
episode 649, total reward -438.7646059633567
episode 650, total reward -496.18096052435106
episode 651, total reward -477.04106618082363
episode 652, total reward -266.87023685579504
episode 653, total reward -661.9399207289483
episode 654, total reward -368.7564709735155
episode 655, total reward -369.4773601647431
episode 656, total reward -437.58043978936723
episode 657, total reward -691.7898937932958
episode 658, total reward -365.7764288533923
episode 659, total reward -390.9385030065397
episode 660, total reward -499.96174230312704
start test!
average_test_reward_sum = -538.0623868591332
episode 661, total reward -440.9465179069304
episode 662, total reward -555.7282173076024
episode 663, total reward -456.5447325395569
episode 664, total reward -474.71141660229375
episode 665, total reward -492.64207474321273
episode 666, total reward -566.0251012045183
episode 667, total reward -425.09010343886064
episode 668, total reward -361.9340542454604
episode 669, total reward -373.0796530467966
episode 670, total reward -333.6482339347565
episode 671, total reward -243.12241382309276
episode 672, total reward -587.3750972466505
episode 673, total reward -272.9418937717653
episode 674, total reward -366.28167075708797
episode 675, total reward -563.9894054110235
episode 676, total reward -549.7181066315532
episode 677, total reward -528.0992659336838
episode 678, total reward -514.0818625844205
episode 679, total reward -362.97532541203043
episode 680, total reward -480.2440995911153
start test!
average_test_reward_sum = -525.275133668684
episode 681, total reward -248.76376445999935
episode 682, total reward -586.5539882938979
episode 683, total reward -336.24150108518165
episode 684, total reward -462.96996309492624
episode 685, total reward -480.0440583020813
episode 686, total reward -477.6239462610402
episode 687, total reward -454.3375070881855
episode 688, total reward -527.3894234950151
episode 689, total reward -462.4883329245221
episode 690, total reward -580.4994784450628
episode 691, total reward -221.73283569259434
episode 692, total reward -375.66208938115506
episode 693, total reward -610.8328983073758
episode 694, total reward -458.1670211062682
episode 695, total reward -339.90230286958825
episode 696, total reward -286.3218519895598
